Student_id,Time_used(seconds),Sex,County,Total_Rater_1,Total_Rater_2,Total_Average,Asp_25_Rater_1,Asp_25_Rater_2,Asp_25_Average,Asp_28_Rater_1,Asp_28_Rater_2,Asp_28_Average,Asp_34_Rater_1,Asp_34_Rater_2,Asp_34_Average,Asp_35_Rater_1,Asp_35_Rater_2,Asp_35_Average,Asp_39_Rater_1,Asp_39_Rater_2,Asp_39_Average,Asp_40_Rater_1,Asp_40_Rater_2,Asp_40_Average,Asp_41_Rater_1,Asp_41_Rater_2,Asp_41_Average,Asp_42_Rater_1,Asp_42_Rater_2,Asp_42_Average,Asp_43_Rater_1,Asp_43_Rater_2,Asp_43_Average,word_count,sent_count,word_len,sent_len,LIX,SMOG,FK,lemma_count,TTR,RTTR,Uber,Maas,MTLD,CVV,LD,A,D,I,J,K,N,P,S,V,SV_ratio,F-index,A_TTR,D_TTR,J_TTR,K_TTR,P_TTR,S_TTR,V_TTR,S_abstr,rare_5000,rare_4000,rare_3000,rare_2000,rare_1000,n_cases,Nom,Gen,Par,Add,Ill,AddIll,Ine,Ela,All,Ade,Abl,Tra,Ter,Ess,Abe,Com,Sing,Plur,S_cases,S_Plur,A_cases,A_Plur,A_Pos,A_Cmp,A_Sup,P_cases,P_Plur,P_Prs,P_Reflex,P_Dem,P_Ind,P_IntRel,V_Fin,V_Ind,V_Cnd,V_Imp,V_Prs1,V_Prs2,V_Prs3,V_Pres,V_Past,V_Sing,V_Plur,V_Neg,V_Pass,V_NonFin,V_Inf,V_Part,V_Conv,J_Sub,K_Post,replaced_words,replaced_word_ratio,wordorder_errors,wordorder_error_ratio,missing_words,missing_word_ratio,unnecessary_words,unnecessary_word_ratio,whitespace_errors,whitespace_error_ratio,misc_errors,misc_error_ratio,replaced_punct,replaced_punct_ratio,unnecessary_punct,unnecessary_punct_ratio,missing_punct,missing_punct_ratio,error_count,spelling_errors,spell_error_word_ratio,paragraph_count,mean_word_count,mean_sent_count,std_word_count,std_sent_count,diff_word_count,diff_sent_count,errors_per_word,errors_per_sent
id_ gisAfh,2643,M,Pärnu maakond,4.0,8.0,6.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.5,1.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,445,20,5.489887640449438,22.25,55,17.637676136203027,18.06637640449438,203,0.4611872146118721,9.651933347863432,47.79808630511736,0.0209213396874623,161.3684210526316,3.5218843996887013,0.5045662100456622,0.0898876404494382,0.1438202247191011,0.0,0.1303370786516854,0.0134831460674157,0.0,0.1213483146067415,0.2539325842696629,0.2449438202247191,1.036697247706422,42.35955056179776,0.7,0.515625,0.1724137931034483,0.8333333333333334,0.2037037037037037,0.5752212389380531,0.4770642201834862,2.186046511627907,0.0314606741573033,0.0359550561797752,0.047191011235955,0.0808988764044943,0.1752808988764045,9,0.3285024154589372,0.1352657004830917,0.178743961352657,0.0,0.0,0.0,0.072463768115942,0.0628019323671497,0.0579710144927536,0.038647342995169,0.0,0.038647342995169,0.0,0.0,0.0,0.0483091787439613,0.6666666666666666,0.2946859903381642,9,0.3097345132743362,7,0.125,0.925,0.075,0.0,8,0.3888888888888889,0.1851851851851852,0.0925925925925925,0.4629629629629629,0.1296296296296296,0.1296296296296296,0.5871559633027523,0.5229357798165137,0.0642201834862385,0.0,0.0458715596330275,0.0,0.3669724770642202,0.5596330275229358,0.091743119266055,0.2844036697247706,0.128440366972477,0.1192660550458715,0.036697247706422,0.2477064220183486,0.1651376146788991,0.0642201834862385,0.018348623853211,0.3620689655172414,0.8333333333333334,22,0.5641025641,3,0.07692307692,2,0.05128205128,1,0.02564102564,2,0.05128205128,5,0.1282051282,0,0.0,1,0.02564102564,3,0.07692307692,39,3,0.0067415730337078,5,88.4,3.8,35.67632268045573,1.9235384061671343,85,5,0.0876404494382022,1.95
id_ IXVyGc,2260,N,Pärnu maakond,8.0,12.0,10.0,0.0,0.0,0.0,1.0,2.0,1.5,3.0,2.0,2.5,1.0,2.0,1.5,1.0,2.0,1.5,0.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.5,0.0,0.0,0.0,417,22,5.84652278177458,18.954545454545453,53,17.845785984406827,20.15622956180511,200,0.4780487804878048,9.679750047165978,49.04073538752401,0.0203912113490533,205.0,3.136097317204733,0.4682926829268293,0.0455635491606714,0.1534772182254196,0.0,0.1103117505995203,0.0239808153477218,0.0095923261390887,0.158273381294964,0.2733812949640288,0.2254196642685851,1.2127659574468086,40.28776978417267,0.8947368421052632,0.671875,0.1956521739130435,0.8,0.2727272727272727,0.5614035087719298,0.4574468085106383,2.4285714285714284,0.0455635491606714,0.0815347721822542,0.0935251798561151,0.1127098321342925,0.1702637889688249,12,0.3448275862068966,0.2364532019704433,0.1330049261083744,0.0147783251231527,0.0049261083743842,0.0197044334975369,0.0394088669950738,0.0147783251231527,0.0098522167487684,0.0935960591133004,0.0,0.0541871921182266,0.0098522167487684,0.0,0.0,0.0344827586206896,0.6354679802955665,0.354679802955665,11,0.3421052631578947,5,0.4736842105263157,0.7894736842105263,0.1578947368421052,0.0,9,0.3181818181818182,0.2272727272727273,0.1363636363636363,0.3181818181818182,0.2424242424242424,0.0757575757575757,0.5531914893617021,0.4787234042553192,0.0744680851063829,0.0,0.0,0.0,0.3723404255319149,0.5425531914893617,0.0957446808510638,0.2659574468085106,0.1063829787234042,0.1063829787234042,0.0319148936170212,0.3297872340425531,0.2234042553191489,0.0851063829787234,0.0212765957446808,0.4130434782608695,0.8,21,0.65625,2,0.0625,1,0.03125,1,0.03125,0,0.0,4,0.125,0,0.0,1,0.03125,2,0.0625,32,10,0.0239808153477218,4,103.5,5.25,46.0181123761793,2.98607881119482,103,7,0.0767386091127098,1.4545454545454546
id_ QGl1PK,3143,N,Pärnu maakond,10.0,11.0,10.5,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.5,0.0,0.0,0.0,1.0,0.0,0.5,423,32,5.66903073286052,13.21875,49,15.579741850924794,17.461293587470447,202,0.4712918660287081,9.635584964477015,48.42232587645091,0.0206516308727401,155.39408569704284,3.020202248463109,0.4569377990430622,0.0472813238770685,0.1962174940898345,0.0,0.0992907801418439,0.0212765957446808,0.0,0.1513002364066193,0.2222222222222222,0.2624113475177305,0.8468468468468469,34.04255319148936,0.85,0.5903614457831325,0.1666666666666666,0.8888888888888888,0.265625,0.6595744680851063,0.4054054054054054,2.3,0.0732860520094562,0.0874704491725768,0.1016548463356974,0.1252955082742316,0.1678486997635933,8,0.3539325842696629,0.2247191011235955,0.2303370786516854,0.0,0.0,0.0,0.0393258426966292,0.0112359550561797,0.0674157303370786,0.0,0.0,0.0393258426966292,0.0,0.0,0.0,0.0337078651685393,0.8089887640449438,0.1853932584269663,8,0.1595744680851064,4,0.2,0.75,0.25,0.0,5,0.21875,0.171875,0.0625,0.40625,0.203125,0.15625,0.6126126126126126,0.5315315315315315,0.063063063063063,0.018018018018018,0.0990990990990991,0.027027027027027,0.3693693693693693,0.6126126126126126,0.063063063063063,0.3333333333333333,0.1621621621621621,0.081081081081081,0.1081081081081081,0.2792792792792793,0.2072072072072072,0.063063063063063,0.009009009009009,0.2857142857142857,0.7777777777777778,20,0.4651162791,2,0.04651162791,1,0.02325581395,3,0.06976744186,0,0.0,3,0.06976744186,0,0.0,2,0.04651162791,12,0.2790697674,43,18,0.0425531914893617,6,70.0,5.166666666666667,29.765752132274432,1.940790217067952,80,5,0.1016548463356974,1.34375
id_ vIHtDv,3816,N,Pärnu maakond,4.0,6.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.5,2.0,1.0,1.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,417,19,5.366906474820144,21.94736842105263,52,18.1866772846833,19.05964154991796,190,0.4541062801932367,9.23969591904022,45.99690436160156,0.0217405935003487,108.03257328990227,3.2128538570159173,0.4154589371980676,0.0503597122302158,0.184652278177458,0.0,0.1199040767386091,0.0119904076738609,0.0047961630695443,0.1726618705035971,0.1966426858513189,0.2565947242206235,0.7663551401869159,32.254196642685855,0.7619047619047619,0.5844155844155844,0.16,1.0,0.2083333333333333,0.6341463414634146,0.4392523364485981,1.9523809523809523,0.0383693045563549,0.0431654676258992,0.0743405275779376,0.0863309352517985,0.13189448441247,14,0.4406779661016949,0.1299435028248587,0.2033898305084746,0.0056497175141242,0.0056497175141242,0.0112994350282485,0.0169491525423728,0.0169491525423728,0.0903954802259887,0.0225988700564971,0.0056497175141242,0.0282485875706214,0.0056497175141242,0.0056497175141242,0.0,0.0112994350282485,0.7853107344632768,0.2033898305084746,14,0.1951219512195122,5,0.2857142857142857,0.8571428571428571,0.1428571428571428,0.0,7,0.1944444444444444,0.1944444444444444,0.0972222222222222,0.3194444444444444,0.3055555555555556,0.0833333333333333,0.5794392523364486,0.5327102803738317,0.0467289719626168,0.0,0.02803738317757,0.0186915887850467,0.3925233644859813,0.5607476635514018,0.102803738317757,0.3831775700934579,0.0560747663551401,0.0841121495327102,0.1121495327102803,0.3177570093457944,0.2149532710280373,0.0841121495327102,0.0186915887850467,0.44,0.8,11,0.3793103448,4,0.1379310345,2,0.06896551724,3,0.1034482759,1,0.03448275862,4,0.1379310345,0,0.0,0,0.0,4,0.1379310345,29,10,0.0239808153477218,5,82.8,3.6,37.17795045453689,1.8165902124584952,92,4,0.0695443645083932,1.5263157894736843
id_ nX3f21,2078,M,Pärnu maakond,6.0,13.0,9.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.5,1.0,2.0,1.5,1.0,1.0,1.0,1.0,2.0,1.5,1.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.5,426,32,5.47887323943662,13.3125,48,15.247664890283003,15.694832746478877,186,0.4423076923076923,9.021342216356466,44.58374119761522,0.0224297013471245,142.49612403100775,3.159292970819848,0.46875,0.0492957746478873,0.1784037558685446,0.0,0.0774647887323943,0.0070422535211267,0.0070422535211267,0.176056338028169,0.2535211267605634,0.2488262910798122,1.018867924528302,35.32863849765258,0.7619047619047619,0.5263157894736842,0.1818181818181818,1.0,0.24,0.5277777777777778,0.4339622641509434,2.3258426966292136,0.0422535211267605,0.0539906103286385,0.0821596244131455,0.1197183098591549,0.1596244131455399,12,0.2850241545893719,0.1884057971014492,0.2753623188405797,0.0048309178743961,0.0,0.0048309178743961,0.0483091787439613,0.0289855072463768,0.0434782608695652,0.0338164251207729,0.0048309178743961,0.038647342995169,0.0,0.0096618357487922,0.0,0.038647342995169,0.6763285024154589,0.323671497584541,11,0.2777777777777778,3,0.3333333333333333,0.8095238095238095,0.1428571428571428,0.0476190476190476,10,0.4,0.2,0.0666666666666666,0.3733333333333333,0.2133333333333333,0.1466666666666666,0.5660377358490566,0.4811320754716981,0.0849056603773584,0.0,0.0754716981132075,0.0,0.3113207547169811,0.5660377358490566,0.0094339622641509,0.2924528301886792,0.0943396226415094,0.1226415094339622,0.0283018867924528,0.2547169811320754,0.2264150943396226,0.0094339622641509,0.0188679245283018,0.3636363636363636,0.6666666666666666,16,0.347826087,5,0.1086956522,2,0.04347826087,3,0.0652173913,5,0.1086956522,7,0.152173913,0,0.0,0,0.0,8,0.1739130435,46,7,0.0164319248826291,5,84.6,6.2,14.293355099485916,1.3038404810405295,38,3,0.107981220657277,1.4375
id_ I7T6n9,3521,N,Pärnu maakond,10.0,14.0,12.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.5,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,409,28,5.6821515892420535,14.607142857142858,49,16.084390811093357,18.12096664338107,184,0.4507389162561576,9.08213750583401,45.27264646647501,0.0220883928387202,162.65818759936406,2.953252124896814,0.5098522167487685,0.0513447432762836,0.1173594132029339,0.0,0.0733496332518337,0.0293398533007334,0.0,0.1760391198044009,0.293398533007335,0.2591687041564792,1.1320754716981132,41.0757946210269,0.7142857142857143,0.6458333333333334,0.2666666666666666,0.75,0.1944444444444444,0.5583333333333333,0.4056603773584906,2.2337662337662336,0.0684596577017114,0.0806845965770171,0.1026894865525672,0.1271393643031785,0.1784841075794621,12,0.2676056338028169,0.2300469483568075,0.1971830985915492,0.0046948356807511,0.0,0.0046948356807511,0.0610328638497652,0.0046948356807511,0.0657276995305164,0.0985915492957746,0.0046948356807511,0.028169014084507,0.0,0.0046948356807511,0.0,0.0187793427230046,0.7746478873239436,0.2112676056338028,10,0.2416666666666666,5,0.0952380952380952,0.7619047619047619,0.238095238095238,0.0,8,0.1944444444444444,0.1527777777777778,0.125,0.2916666666666667,0.1944444444444444,0.2361111111111111,0.5943396226415094,0.5283018867924528,0.0471698113207547,0.0188679245283018,0.0471698113207547,0.0188679245283018,0.3490566037735849,0.5849056603773585,0.0660377358490566,0.320754716981132,0.0943396226415094,0.1132075471698113,0.0754716981132075,0.2264150943396226,0.1415094339622641,0.0566037735849056,0.0283018867924528,0.4666666666666667,0.9166666666666666,14,0.3333333333,3,0.07142857143,2,0.04761904762,3,0.07142857143,1,0.02380952381,2,0.04761904762,0,0.0,2,0.04761904762,15,0.3571428571,42,14,0.0342298288508557,4,101.25,6.75,65.9311509581523,3.4034296427770228,146,7,0.1026894865525672,1.5
id_ j4LF33,4017,N,Pärnu maakond,12.0,9.0,10.5,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.5,425,26,5.868235294117647,16.346153846153847,52,16.712763958537163,18.521941176470595,215,0.5011933174224343,10.259171343666662,52.77622673027876,0.018947925267766,215.47844565877352,2.9902323257068386,0.5059665871121718,0.068235294117647,0.1764705882352941,0.0,0.1129411764705882,0.0305882352941176,0.028235294117647,0.0988235294117647,0.2635294117647059,0.2211764705882353,1.1914893617021276,43.294117647058826,0.8275862068965517,0.6,0.1666666666666666,0.4615384615384615,0.3571428571428571,0.6339285714285714,0.4361702127659574,2.2298850574712645,0.0541176470588235,0.0564705882352941,0.0611764705882353,0.0988235294117647,0.1458823529411764,10,0.2974358974358974,0.2717948717948718,0.2205128205128205,0.0,0.0051282051282051,0.0051282051282051,0.0256410256410256,0.0358974358974358,0.0,0.0512820512820512,0.0,0.0461538461538461,0.0,0.0102564102564102,0.0,0.0256410256410256,0.6871794871794872,0.3025641025641025,10,0.3035714285714285,7,0.2758620689655172,0.8275862068965517,0.1034482758620689,0.0344827586206896,8,0.3809523809523809,0.1428571428571428,0.0476190476190476,0.3571428571428571,0.3571428571428571,0.0952380952380952,0.5638297872340425,0.4787234042553192,0.0744680851063829,0.0106382978723404,0.0319148936170212,0.0,0.3829787234042553,0.5638297872340425,0.0851063829787234,0.2553191489361702,0.1595744680851064,0.0851063829787234,0.0638297872340425,0.3404255319148936,0.2446808510638297,0.0851063829787234,0.0106382978723404,0.4791666666666667,0.9230769230769232,20,0.5,1,0.025,3,0.075,2,0.05,1,0.025,2,0.05,0,0.0,1,0.025,10,0.25,40,12,0.028235294117647,3,140.66666666666666,8.333333333333334,77.6809715009624,4.163331998932265,141,8,0.0941176470588235,1.5384615384615383
id_ GLv4sc,2606,M,Pärnu maakond,7.0,16.0,11.5,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,2.5,0.0,2.0,1.0,0.0,3.0,1.5,2.0,3.0,2.5,1.0,2.0,1.5,0.0,1.0,0.5,0.0,0.0,0.0,440,23,5.625,19.13043478260869,51,16.918120490482874,18.072233201581025,232,0.5266821345707656,10.9342052545013,57.39250417657414,0.0174238781587817,270.906330749354,3.742275995918744,0.4895591647331787,0.0704545454545454,0.1068181818181818,0.0,0.1022727272727272,0.025,0.0045454545454545,0.1863636363636363,0.2590909090909091,0.2454545454545454,1.0555555555555556,40.79545454545455,0.8387096774193549,0.723404255319149,0.2222222222222222,0.8181818181818182,0.2073170731707317,0.7192982456140351,0.5092592592592593,1.7179487179487178,0.0681818181818181,0.0863636363636363,0.1045454545454545,0.1318181818181818,0.1909090909090909,12,0.4235807860262008,0.148471615720524,0.1877729257641921,0.0174672489082969,0.0,0.0174672489082969,0.0524017467248908,0.0305676855895196,0.0218340611353711,0.0043668122270742,0.0043668122270742,0.0611353711790393,0.0,0.0,0.0087336244541484,0.0305676855895196,0.7379912663755459,0.2532751091703056,10,0.219298245614035,7,0.1935483870967742,0.8709677419354839,0.1290322580645161,0.0,10,0.3292682926829268,0.2682926829268293,0.048780487804878,0.3048780487804878,0.2682926829268293,0.1097560975609756,0.6666666666666666,0.5462962962962963,0.1111111111111111,0.0,0.0648148148148148,0.0,0.4166666666666667,0.3796296296296296,0.3796296296296296,0.3611111111111111,0.1203703703703703,0.074074074074074,0.0555555555555555,0.2129629629629629,0.0925925925925925,0.0925925925925925,0.0277777777777777,0.4444444444444444,0.6363636363636364,21,0.512195122,2,0.0487804878,1,0.0243902439,2,0.0487804878,1,0.0243902439,1,0.0243902439,0,0.0,3,0.07317073171,10,0.243902439,41,9,0.0204545454545454,6,72.83333333333333,3.6666666666666665,14.743360087397535,0.5163977794943222,40,1,0.0931818181818181,1.7826086956521738
id_ tGA4bW,2553,N,Pärnu maakond,9.0,14.0,11.5,1.0,0.0,0.5,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.5,1.0,2.0,1.5,1.0,2.0,1.5,1.0,3.0,2.0,0.0,1.0,0.5,0.0,0.0,0.0,481,30,5.151767151767152,16.033333333333335,43,15.33710200688057,15.857594594594596,187,0.3907563025210084,8.525296022362365,40.45285000260639,0.0247201371457281,128.44105782160466,3.21257072871912,0.4054621848739496,0.054054054054054,0.1933471933471933,0.0,0.0893970893970894,0.0249480249480249,0.0,0.1767151767151767,0.1871101871101871,0.2723492723492723,0.6870229007633588,31.185031185031185,0.7692307692307693,0.4731182795698925,0.1860465116279069,0.6666666666666666,0.188235294117647,0.4666666666666667,0.3969465648854962,1.9452054794520548,0.0374220374220374,0.0395010395010395,0.0478170478170478,0.0686070686070686,0.0997920997920998,10,0.3880597014925373,0.1791044776119403,0.2686567164179104,0.0149253731343283,0.0,0.0149253731343283,0.0696517412935323,0.0049751243781094,0.0547263681592039,0.0049751243781094,0.0,0.0049751243781094,0.0,0.0,0.0,0.0099502487562189,0.5870646766169154,0.4129353233830846,7,0.4777777777777778,6,0.5,0.9615384615384616,0.0384615384615384,0.0,7,0.3176470588235294,0.1647058823529411,0.1176470588235294,0.3647058823529411,0.1647058823529411,0.1647058823529412,0.6030534351145038,0.5572519083969466,0.0458015267175572,0.0,0.0305343511450381,0.015267175572519,0.3511450381679389,0.5801526717557252,0.0610687022900763,0.2671755725190839,0.1297709923664122,0.1450381679389313,0.0305343511450381,0.2213740458015267,0.183206106870229,0.0381679389312977,0.0,0.2558139534883721,0.9166666666666666,16,0.2857142857,3,0.05357142857,1,0.01785714286,4,0.07142857143,0,0.0,7,0.125,0,0.0,0,0.0,25,0.4464285714,56,7,0.0145530145530145,7,68.42857142857143,4.142857142857143,17.539072028446874,1.6761634196950517,45,4,0.1164241164241164,1.8666666666666667
id_ ds4rQW,2934,N,Pärnu maakond,12.0,8.0,10.0,0.0,0.0,0.0,2.0,1.0,1.5,2.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,2.0,1.0,1.5,0.0,0.0,0.0,2.0,2.0,2.0,352,17,5.619318181818182,20.705882352941178,53,17.987409321129135,19.806316844919788,170,0.4829545454545454,9.061030445113444,47.239109677925335,0.0211689002357996,179.9835390946502,2.864006223032628,0.4573863636363636,0.0625,0.1903409090909091,0.0,0.1136363636363636,0.0255681818181818,0.0,0.15625,0.2215909090909091,0.2244318181818181,0.9873417721518988,36.93181818181818,0.7727272727272727,0.6119402985074627,0.225,0.7777777777777778,0.3272727272727272,0.5384615384615384,0.4556962025316455,2.298245614035088,0.0710227272727272,0.0738636363636363,0.0852272727272727,0.096590909090909,0.1534090909090909,11,0.3354838709677419,0.2064516129032258,0.1806451612903225,0.0258064516129032,0.0064516129032258,0.032258064516129,0.0709677419354838,0.0258064516129032,0.0387096774193548,0.0903225806451612,0.0064516129032258,0.0,0.0,0.0,0.0,0.0064516129032258,0.7612903225806451,0.2387096774193548,11,0.2564102564102564,6,0.2272727272727272,0.7727272727272727,0.2272727272727272,0.0,5,0.2181818181818181,0.2,0.1454545454545454,0.2909090909090909,0.3090909090909091,0.0363636363636363,0.6582278481012658,0.3544303797468354,0.2531645569620253,0.050632911392405,0.0253164556962025,0.1139240506329113,0.3291139240506329,0.6582278481012658,0.0253164556962025,0.3291139240506329,0.1392405063291139,0.0632911392405063,0.0126582278481012,0.2531645569620253,0.2278481012658227,0.0253164556962025,0.0,0.45,1.0,10,0.3125,2,0.0625,4,0.125,2,0.0625,0,0.0,2,0.0625,0,0.0,4,0.125,8,0.25,32,4,0.0113636363636363,4,86.25,4.0,56.9114809741116,1.1547005383792517,130,2,0.0909090909090909,1.8823529411764703
